Product Name,Current Price
Redmi Pad 2,"KSh 9,400 - KSh 10,700"
reMarkable Paper Pro with Markerplus,"KSh 105,000"
reMarkable 2 with Markerplus,"KSh 75,500"
Amazon Kindle Scribe With Basic Pen 16GB,"KSh 44,000"
Amazon Kindle Colorsoft Signature Edition 32GB,"KSh 48,500"
Amazon Kindle Scribe with Premium Pen,"KSh 68,000 - KSh 73,000"
Lenovo Tab 10.1,"KSh 26,000"
Lenovo Tab K11,"KSh 40,000"
Modio M796 Kids Tablet,"KSh 8,500"
Modio M41 Tablet,"KSh 12,500"
Telzeal P104 Tablet,"KSh 12,000"
Modio M132 Tablet,"KSh 9,500"
Telzeal P200 Tablet,"KSh 11,000"
Telzeal P801 Tablet,"KSh 9,500"
Apple iPad 11 Gen A16 (2025),"KSh 56,000 - KSh 89,000"
Apple iPad Air 13-inch M3 (2025),"KSh 120,000"
Apple iPad Air 11-inch M3,"KSh 88,000 - KSh 122,000"
Amazon Fire HD 10 Kids Tablet,"KSh 22,000"
Modio M129 5G Tablet,"KSh 9,500"
Telzeal P101 Tablet,"KSh 9,500"
Lenovo Tab M11,"KSh 30,000"
Modio M40 5G,"KSh 12,000"
Modio M19 5G,"KSh 12,000"
Samsung Galaxy Tab S10 FE,"KSh 56,000 - KSh 85,000"
Modio M793 Kids Tablet,"KSh 10,500"
Redmi Pad SE 8.7,"KSh 15,800 - KSh 17,200"
Redmi Pad SE,"KSh 19,500 - KSh 19,600"
Redmi Pad Pro,"KSh 37,600 - KSh 43,000"
Modio M25 Kids Tablet,"KSh 11,500"
Telzeal P100 Tablet,"KSh 15,500"
Idino Notebook 7 Tablet,"KSh 16,500"
Idino Notebook 10 Tablet,"KSh 16,500"
Modio M128 Kids Tablet,"KSh 9,500"
Modio M35 Tablet,"KSh 11,000"
ElimuTab ET01 Pro,"KSh 13,000"
ElimuTab ET04,"KSh 10,500"
ElimuTab ET04 Pro,"KSh 11,500"
Amazon Kindle Paperwhite 12 Gen,"KSh 25,000 - KSh 29,500"
ElimuTab ET03 Pro,"KSh 18,000"
ElimuTab ET01,"KSh 13,500"
ElimuTab ET05,"KSh 11,000"
ElimuTab ET02 Pro,"KSh 19,000"
Modio M91 5G Tablet,"KSh 13,000"
Amazon Fire HD 10 Kids Pro Tablet,"KSh 24,500"
Tecno MegaPad 10,"KSh 18,300"
Amazon Kindle Paper White (10 Gen),"KSh 22,500"
Oppo Pad Neo,"KSh 33,500"
Amazon Echo Show 8 (Gen 3 2023),"KSh 21,000"
Infinix Xpad Tablet,"KSh 20,700 - KSh 23,100"
Winro Voni 10,"KSh 13,000"
Apple iPad Pro 11 M4 (2024),"KSh 129,500 - KSh 232,000"
Samsung Galaxy Tab S10 Ultra,"KSh 122,000 - KSh 139,000"
Samsung Galaxy Tab S10 Plus,"KSh 114,000 - KSh 125,000"
iPad Pro 13 M4 (2024),"KSh 156,500 - KSh 239,000"
iPad Air 13 M2 (2024),"KSh 105,000 - KSh 178,000"
Apple iPad Air 11 M2 (2024),"KSh 79,000 - KSh 149,000"
Fire HD 8 Kids Pro,"KSh 17,000"
Lenovo Tab M10,"KSh 23,500"
Lenovo Tab M9,"KSh 18,000"
Modio M26,"KSh 13,999"
Alldocube Smile 8,"KSh 13,500"
Alldocube Kidsmate 7,"KSh 9,500"
Alldocube Smile 10,"KSh 17,700"
Modio M22,"KSh 15,000"
Amazon Fire HD 8 Kids,"KSh 16,000"
Samsung Galaxy Tab S9 Plus,"KSh 106,000"
Samsung Galaxy Tab S9,"KSh 74,000 - KSh 109,000"
Samsung Galaxy Tab S9 Ultra,"KSh 130,000"
Samsung Galaxy Tab S9 FE Plus,"KSh 70,000 - KSh 85,000"
Samsung Galaxy Tab S9 FE,"KSh 46,000 - KSh 78,500"
Apple iPad 10.9 2022,"KSh 48,000 - KSh 89,000"
Apple iPad Pro 12.9 2022 6th Gen,"KSh 128,000 - KSh 187,000"
Apple iPad Pro 11 2022,"KSh 115,000 - KSh 120,000"
Realme Pad,"KSh 22,000 - KSh 31,000"
iPad Air 5th Gen 2022,"KSh 65,000 - KSh 105,000"
iPad Mini 2021 6th Gen (Wi-Fi Only),"KSh 71,000"
iPad Mini 2021 6th Gen (Wi-Fi + Cellular),"KSh 71,000"
iPad 10.2 2021 9th Gen (Wi-Fi Only),"KSh 61,000"
iPad 10.2 2021 9th Gen,"KSh 46,500 - KSh 60,000"
Apple iPad Pro 11 (2021),"KSh 135,000 - KSh 230,000"
Amazon Fire HD 8,"KSh 15,000"
